,Name,Latitude,Longitude,Cloudiness,Country,Date,Humidity,Max Temperature,Wind Speed
0,Rikitea,-23.12,-134.97,100,PF,1570421033,86,73.74,11.32
1,Ushuaia,-54.81,-68.31,40,AR,1570421038,80,35.6,12.75
2,Shelburne,44.08,-80.2,1,CA,1570421149,76,57.2,6.93
3,Butaritari,3.07,172.79,0,KI,1570421067,63,84.65,2.71
4,San Luis,-33.3,-66.34,0,AR,1570421150,36,66.56,22.64
5,Albany,42.65,-73.75,90,US,1570420813,82,66.2,10.29
6,Lebu,8.96,38.73,10,ET,1570421047,83,49.96,4.56
7,Flinders,-34.58,150.85,90,AU,1570421151,72,73.99,9.17
8,Salamiyah,35.01,37.05,6,SY,1570421152,92,60.57,5.41
9,Carmen,7.36,125.71,20,PH,1570421152,62,91.99,6.93
10,Lerwick,60.15,-1.15,100,GB,1570421036,81,50.0,31.09
11,Beringovskiy,63.05,179.32,100,RU,1570421153,98,32.7,32.1
12,Busselton,-33.64,115.35,3,AU,1570421048,33,72.0,8.16
13,Burayevo,55.84,55.41,97,RU,1570421155,59,44.78,11.21
14,Oksfjord,70.24,22.35,100,NO,1570421155,80,41.0,10.29
15,Port-Cartier,50.03,-66.88,90,CA,1570421156,93,44.01,6.93
16,Walvis Bay,-22.95,14.51,0,NA,1570421156,87,48.2,4.7
17,Barrow,-38.31,-60.23,97,AR,1570421157,40,61.34,21.18
18,Jamestown,-33.21,138.6,100,AU,1570421097,69,57.74,12.48
19,Touros,-5.2,-35.46,75,BR,1570421159,78,77.0,11.41
20,Cape Town,-33.93,18.42,20,ZA,1570420851,93,60.01,5.82
21,Omsukchan,62.53,155.8,100,RU,1570421160,93,8.29,7.31
22,Punta Arenas,-53.16,-70.91,20,CL,1570421034,55,39.2,10.29
23,Saint-Philippe,45.36,-73.48,90,CA,1570421052,87,62.01,11.41
24,Norman Wells,65.28,-126.83,75,CA,1570421040,68,30.2,3.36
25,Port Alfred,-33.59,26.89,100,ZA,1570421103,93,64.0,9.4
26,Lipin Bor,60.26,37.97,100,RU,1570421162,93,31.32,7.94
27,Sao Filipe,14.9,-24.5,100,CV,1570421053,87,78.98,15.23
28,Tatarsk,55.22,75.96,18,RU,1570421163,64,51.62,2.3
29,Mataura,-46.19,168.86,90,NZ,1570421046,45,59.61,11.77
30,Port Macquarie,-31.43,152.91,21,AU,1570421166,50,100.99,13.87
31,Puerto Ayora,-0.74,-90.35,8,EC,1570421031,97,64.0,5.99
32,Abu Zabad,12.35,29.25,100,SD,1570421167,81,72.72,5.32
33,Hermanus,-34.42,19.24,32,ZA,1570421038,91,57.0,3.0
34,Tautira,-17.73,-149.15,75,PF,1570421169,74,78.8,8.05
35,Sinnamary,5.38,-52.96,0,GF,1570421169,82,81.55,13.18
36,Kaniama,-7.57,24.18,77,CD,1570421170,92,67.95,2.95
37,Victoria,5.28,115.24,75,BN,1570421061,74,86.0,4.7
38,Chokurdakh,70.62,147.9,100,RU,1570421171,86,21.04,6.35
39,Bredasdorp,-34.53,20.04,0,ZA,1570421025,82,57.2,3.36
40,Salalah,17.01,54.1,40,OM,1570421171,83,78.8,3.36
41,Tasiilaq,65.61,-37.64,79,GL,1570421086,93,39.2,2.91
42,Thompson,55.74,-97.86,75,CA,1570421093,86,37.4,4.7
43,Mahebourg,-20.41,57.7,40,MU,1570421039,88,73.4,13.87
44,East London,-33.02,27.91,75,ZA,1570421124,100,62.6,12.75
45,Tuktoyaktuk,69.44,-133.03,90,CA,1570421030,92,30.2,12.75
46,Boditi,6.95,37.86,31,ET,1570421175,91,60.06,1.59
47,Leningradskiy,69.38,178.42,48,RU,1570421175,74,24.58,4.52
48,Provideniya,64.42,-173.23,90,RU,1570421176,80,35.6,11.18
49,Pringsewu,-5.36,104.98,90,ID,1570421176,57,83.25,4.21
50,Ponta do Sol,-20.63,-46.0,95,BR,1570421177,62,71.78,4.88
51,Nanortalik,60.14,-45.24,0,GL,1570421174,79,40.14,0.94
52,Hobart,-42.88,147.33,75,AU,1570421051,44,57.99,9.17
53,Riyadh,24.63,46.72,54,SA,1570421124,32,80.6,4.7
54,Khatanga,71.98,102.47,0,RU,1570421066,87,22.93,9.04
55,Buala,-8.15,159.59,70,SB,1570421179,76,83.35,11.41
56,Pisco,-13.71,-76.2,90,PE,1570421180,77,63.0,8.05
57,Port Hedland,-20.31,118.58,0,AU,1570421181,62,87.8,14.99
58,Faanui,-16.48,-151.75,100,PF,1570421045,85,77.13,18.1
59,Avera,33.19,-82.53,40,US,1570421182,78,73.99,6.93
60,Bluff,-23.58,149.07,0,AU,1570421025,17,94.17,6.2
61,Karasjok,69.47,25.52,100,NO,1570421183,80,39.2,16.11
62,Ust-Omchug,61.13,149.63,0,RU,1570421183,78,13.48,4.97
63,Kholodnyy,62.72,147.95,0,RU,1570421184,77,9.81,3.65
64,Peqin,41.05,19.75,22,AL,1570421185,93,50.0,2.24
65,Vaini,15.34,74.49,40,IN,1570421060,94,73.4,2.37
66,Cayenne,4.94,-52.33,40,GF,1570421056,100,73.4,4.5
67,Revuca,48.68,20.12,75,SK,1570421186,95,36.0,4.7
68,Salinas,36.67,-121.66,1,US,1570421081,39,70.0,5.82
69,Bagotville,-28.98,153.42,0,AU,1570421187,66,100.99,13.87
70,Kodiak,39.95,-94.76,1,US,1570421188,76,51.8,5.82
71,Lao Cai,22.48,103.95,1,VN,1570421188,61,75.18,0.87
72,Raudeberg,61.99,5.14,0,NO,1570421189,80,41.0,9.17
73,Manavalakurichi,8.13,77.3,20,IN,1570421190,74,86.0,3.36
74,Souillac,45.6,-0.6,40,FR,1570421068,93,51.01,7.54
75,Lompoc,34.64,-120.46,1,US,1570420988,45,66.2,4.7
76,Arraial do Cabo,-22.97,-42.02,80,BR,1570421030,89,70.99,5.41
77,Hambantota,6.12,81.12,40,LK,1570421192,94,78.8,3.36
78,Ahipara,-35.17,173.16,71,NZ,1570421192,83,60.21,12.37
79,Neyshabur,36.21,58.79,0,IR,1570421193,23,55.24,7.05
80,Comodoro Rivadavia,-45.87,-67.48,75,AR,1570421193,66,50.0,19.46
81,Broken Hill,-31.97,141.45,0,AU,1570421194,33,73.4,12.75
82,Kapaa,22.08,-159.32,90,US,1570421055,94,82.4,11.41
83,Milkovo,41.53,24.68,75,BG,1570421195,76,60.01,2.24
84,Pareora,-44.49,171.21,34,NZ,1570421196,43,61.0,3.15
85,Dimapur,25.91,93.73,100,IN,1570421196,97,72.95,1.16
86,Mar del Plata,-46.43,-67.52,80,AR,1570421059,66,47.84,25.03
87,Avarua,-21.21,-159.78,100,CK,1570420878,53,71.6,9.17
88,Puerto Baquerizo Moreno,-0.9,-89.6,98,EC,1570421198,84,67.51,11.81
89,Acajutla,13.59,-89.83,100,SV,1570421199,70,83.41,3.56
90,Qaanaaq,77.48,-69.36,100,GL,1570421090,77,19.87,17.16
91,Victoria,5.28,115.24,75,BN,1570421072,74,86.0,4.7
92,Bambous Virieux,-20.34,57.76,40,MU,1570421053,88,73.4,13.87
93,Yellowknife,62.45,-114.38,90,CA,1570421060,93,35.6,16.11
94,Lagoa,37.14,-8.45,0,PT,1570421037,77,66.99,2.24
95,Nicoya,10.15,-85.45,90,CR,1570420923,94,73.4,5.82
96,Mehran,33.12,46.17,40,IR,1570421201,38,60.8,4.7
97,Mareeba,-16.99,145.42,2,AU,1570421203,45,86.0,10.29
98,Buchanan,5.88,-10.05,75,LR,1570421203,100,75.2,14.03
99,Ambatondrazaka,-17.82,48.43,39,MG,1570421204,90,58.05,9.46
100,Ribeira Grande,38.52,-28.7,69,PT,1570421049,94,68.65,22.03
101,Castro,-42.48,-73.76,40,CL,1570421041,81,44.6,8.05
102,Port Elizabeth,39.31,-74.98,90,US,1570421073,77,71.6,6.93
103,Narsaq,60.91,-46.05,40,GL,1570421187,34,51.8,19.46
104,Luderitz,-26.65,15.16,0,NA,1570421185,71,57.2,12.75
105,Dese,45.53,12.3,75,IT,1570421208,66,57.2,11.41
106,Hailey,43.52,-114.32,5,US,1570421208,55,39.2,6.93
107,Kudahuvadhoo,2.67,72.89,65,MV,1570421209,75,80.87,2.53
108,Koulikoro,12.86,-7.56,20,ML,1570421209,94,73.4,0.2
109,Campbellton,48.0,-66.68,96,CA,1570421070,88,49.48,8.37
110,Mangai,-4.07,19.59,100,CD,1570421210,98,70.11,0.43
111,Atuona,-9.8,-139.03,0,PF,1570421024,68,80.33,13.73
112,Torbay,47.66,-52.73,20,CA,1570421029,93,44.01,8.05
113,Dunedin,-45.87,170.5,70,NZ,1570421041,72,55.99,1.01
114,Presidencia Roque Saenz Pena,-26.79,-60.44,0,AR,1570421211,76,58.6,3.51
115,Cockburn Town,21.46,-71.14,97,TC,1570421039,75,83.73,13.6
116,Viedma,-40.81,-62.99,100,AR,1570421214,29,64.0,23.64
117,Anadyr,64.73,177.51,90,RU,1570421215,86,33.8,24.61
118,Geraldton,49.72,-86.95,40,CA,1570421100,93,44.6,12.75
119,Jinchang,38.52,102.19,26,CN,1570421216,63,47.3,6.98
120,Lanja,16.84,73.55,25,IN,1570421217,85,78.64,1.61
121,Guanica,17.97,-66.91,61,PR,1570421217,82,82.99,8.25
122,Cidreira,-30.17,-50.22,91,BR,1570421058,87,58.64,5.77
123,Vila,45.18,8.4,0,IT,1570421220,100,55.99,4.7
124,Broome,52.47,1.45,97,GB,1570421220,93,55.0,2.8
125,Pevek,69.7,170.27,100,RU,1570421221,78,28.89,13.62
126,Klaksvik,62.23,-6.59,80,FO,1570421099,76,51.8,34.45
127,Vila do Maio,15.13,-23.22,75,CV,1570421222,88,78.8,10.29
128,Talkha,31.05,31.37,0,EG,1570421223,90,63.1,3.44
129,Burnie,-41.05,145.91,100,AU,1570421223,56,57.0,8.99
130,Kidal,18.44,1.41,39,ML,1570421224,31,87.06,7.56
131,Tura,64.27,100.22,100,RU,1570421181,93,27.25,5.75
132,San Antero,9.38,-75.76,20,CO,1570421225,100,77.0,4.99
133,Lavrentiya,65.58,-170.99,63,RU,1570421226,90,27.66,1.92
134,Turukhansk,65.8,87.96,26,RU,1570421226,78,34.54,16.06
135,Hilo,19.71,-155.08,20,US,1570420765,54,82.4,3.36
136,Kitgum,3.3,32.88,9,UG,1570421227,96,63.97,2.15
137,Ostrovnoy,68.05,39.51,100,RU,1570421027,96,32.02,10.65
138,Wenling,28.38,121.38,14,CN,1570421228,69,89.01,3.18
139,Grindavik,63.84,-22.43,0,IS,1570421229,76,51.8,17.22
140,Lorengau,-2.02,147.27,28,PG,1570421230,77,83.8,8.23
141,Te Anau,-45.41,167.72,100,NZ,1570421100,80,44.91,8.25
142,Eskil,38.4,33.41,14,TR,1570421231,57,52.52,6.76
143,Mandalay,21.98,96.08,75,MM,1570421232,79,86.0,4.7
144,Misratah,32.38,15.09,0,LY,1570421203,63,75.43,7.05
145,Hasaki,35.73,140.83,75,JP,1570421233,78,75.0,12.75
146,Hailar,49.2,119.7,5,CN,1570421234,29,42.28,18.28
147,Daru,-9.07,143.21,100,PG,1570421235,88,77.95,12.44
148,Chuy,-33.69,-53.46,0,UY,1570421098,90,54.95,8.3
149,Acapulco,16.86,-99.88,75,MX,1570421235,79,84.2,5.82
150,Shimoda,34.7,138.93,75,JP,1570421236,73,80.01,17.22
151,Eirunepe,-6.66,-69.87,15,BR,1570421236,89,73.22,1.57
152,Cherskiy,68.75,161.3,15,RU,1570421034,79,19.54,3.51
153,North Bend,43.41,-124.22,1,US,1570421237,82,57.2,14.99
154,Apostag,46.88,18.97,0,HU,1570421238,81,45.0,9.17
155,Nanchang,28.68,115.89,30,CN,1570420944,48,80.35,5.79
156,Cabo San Lucas,22.89,-109.91,5,MX,1570420995,65,84.0,8.7
157,Bubaque,11.28,-15.83,100,GW,1570421107,73,82.98,7.76
158,Grand Gaube,-20.01,57.66,40,MU,1570421207,88,73.4,13.87
159,Dukstas,55.53,26.33,25,LT,1570421241,91,29.21,4.27
160,Ukiah,39.15,-123.21,1,US,1570421242,28,71.01,2.62
161,Dudinka,69.41,86.18,90,RU,1570421242,98,32.0,8.95
162,Itaporanga,-7.3,-38.15,2,BR,1570421243,62,70.79,6.31
163,Severo-Kurilsk,50.68,156.12,0,RU,1570421243,81,45.91,18.95
164,Georgetown,6.8,-58.16,20,GY,1570421035,100,75.2,4.7
165,Fortuna,40.6,-124.16,1,US,1570421054,93,55.99,14.43
166,Namibe,-15.19,12.15,98,AO,1570421245,76,67.95,8.79
167,Nouadhibou,20.93,-17.03,0,MR,1570421245,88,66.2,12.75
168,South Sioux City,42.47,-96.41,1,US,1570421246,86,51.01,3.36
169,Faya,18.39,42.45,0,SA,1570421247,41,64.4,1.54
170,Springbok,-29.67,17.88,45,ZA,1570421247,90,52.36,5.46
171,Aklavik,68.22,-135.01,75,CA,1570421023,67,32.0,8.05
172,Nikolskoye,59.7,30.79,0,RU,1570421069,92,34.0,2.24
173,Sitka,37.17,-99.65,0,US,1570421249,69,51.01,4.0
174,Aykhal,65.95,111.51,90,RU,1570421050,85,19.4,6.71
175,Flagstaff,35.2,-111.65,90,US,1570421249,21,68.0,9.17
176,Saint George,39.45,22.34,75,GR,1570421250,82,62.6,4.7
177,Talnakh,69.49,88.39,90,RU,1570421250,96,32.0,8.95
178,Esperance,-33.86,121.89,75,AU,1570421252,87,59.0,9.17
179,Bafoulabe,13.81,-10.83,100,ML,1570421253,72,78.22,6.33
180,Ilulissat,69.22,-51.1,100,GL,1570421253,97,32.0,8.05
181,Praia da Vitoria,38.73,-27.07,40,PT,1570421254,88,73.4,14.18
182,Astoria,46.19,-123.83,1,US,1570421255,82,57.0,3.36
183,Camacha,33.08,-16.33,40,PT,1570421071,78,73.4,17.22
184,Sikasso,11.32,-5.68,100,ML,1570421256,92,70.54,4.76
185,Bethlehem,40.62,-75.38,90,US,1570421256,82,70.0,3.36
186,Kununurra,-15.77,128.74,75,AU,1570421257,36,95.0,8.05
187,Bogatyr,53.43,49.95,0,RU,1570421257,33,46.4,11.18
188,Dikson,73.51,80.55,55,RU,1570421044,79,23.58,26.13
189,New Norfolk,-42.78,147.06,75,AU,1570421258,44,57.99,9.17
190,San Patricio,-26.98,-56.83,36,PY,1570421049,96,58.95,4.61
191,Isangel,-19.55,169.27,75,VU,1570421260,78,78.8,11.41
192,Georgiyevka,52.25,40.45,100,RU,1570421260,79,36.86,13.29
193,Lishui,28.45,119.91,17,CN,1570421261,61,82.92,1.3
194,Boa Vista,2.82,-60.67,0,BR,1570421059,66,84.2,5.82
195,Rasht,37.28,49.58,0,IR,1570421002,43,71.6,4.7
196,Green River,41.53,-109.47,1,US,1570421262,24,44.6,6.93
197,Oranjemund,-28.55,16.43,0,ZA,1570421263,86,56.73,2.48
198,Amapa,15.09,-87.97,40,HN,1570421263,78,82.4,3.36
199,Naryan-Mar,67.67,53.09,0,RU,1570421264,88,30.16,7.45
200,Onoda,34.0,131.18,75,JP,1570421264,65,78.01,14.99
201,Alcaniz,41.05,-0.13,64,ES,1570421265,44,63.0,11.99
202,Zhicheng,35.04,112.59,63,CN,1570421265,55,65.52,4.83
203,Mecca,21.43,39.83,75,SA,1570421183,55,84.02,4.94
204,Gamba,28.28,88.52,0,CN,1570421266,55,38.17,4.32
205,Ormara,25.21,64.64,0,PK,1570421266,52,81.79,2.68
206,Port-Gentil,-0.72,8.78,88,GA,1570421267,86,77.79,12.48
207,Moussoro,13.64,16.49,86,TD,1570421268,68,78.24,12.59
208,Tiksi,71.64,128.87,91,RU,1570421268,92,24.42,5.3
209,Saskylakh,71.97,114.09,90,RU,1570421087,95,18.59,6.42
210,Jackville,5.21,-4.42,40,CI,1570421269,88,78.8,5.82
211,Nouakchott,18.08,-15.98,0,MR,1570421015,88,75.2,5.82
212,Mercedes,-33.25,-58.03,13,UY,1570421270,74,54.0,3.0
213,Alofi,-19.06,-169.92,88,NU,1570421212,61,78.8,18.34
214,Zhigansk,66.77,123.37,100,RU,1570421271,94,29.16,8.68
215,Port Blair,11.67,92.75,96,IN,1570421219,71,82.15,4.59
216,Khilok,51.36,110.46,60,RU,1570421272,67,33.49,11.9
217,Aktau,43.65,51.16,0,KZ,1570421272,24,59.0,6.71
218,Coihaique,-45.58,-72.07,90,CL,1570421085,86,41.0,2.24
219,Ogre,56.82,24.61,20,LV,1570421273,93,35.6,2.24
220,Dubuque,42.5,-90.66,1,US,1570421258,81,53.01,10.29
221,Yenotayevka,47.24,47.04,100,RU,1570421274,76,59.52,22.57
222,Alugan,12.22,125.48,100,PH,1570421275,89,81.57,5.32
223,Ojinaga,29.56,-104.41,1,US,1570421276,37,84.2,8.05
224,Yermakovskoye,53.28,92.4,0,RU,1570421277,79,51.89,2.04
225,Baguanos,20.75,-76.03,75,CU,1570421277,88,77.0,5.82
226,Yar-Sale,66.83,70.83,0,RU,1570421278,76,34.16,21.23
227,Sola,-3.17,33.8,43,TZ,1570421106,65,67.86,10.96
228,Bethel,60.79,-161.76,90,US,1570421026,56,44.6,5.82
229,Hualmay,-11.1,-77.61,16,PE,1570421280,92,60.35,14.94
230,Lang Suan,9.95,99.07,40,TH,1570421280,66,89.6,2.57
231,Yeppoon,-23.13,150.74,0,AU,1570421281,22,96.8,6.93
232,Inhambane,-23.87,35.38,11,MZ,1570421214,96,63.18,1.61
233,Ancud,-41.87,-73.83,40,CL,1570421282,81,44.6,8.05
234,Ambilobe,-13.19,49.05,0,MG,1570421283,70,74.07,10.89
235,Rio Grande,-32.03,-52.1,58,BR,1570421283,94,53.01,4.23
236,Poronaysk,49.22,143.1,1,RU,1570421284,44,59.63,11.05
237,Santa Rosalia,38.07,13.27,20,IT,1570421285,68,70.0,12.75
238,The Valley,18.22,-63.06,20,AI,1570421286,70,84.2,11.41
239,Krasnoufimsk,56.6,57.77,96,RU,1570421286,64,43.27,8.88
240,Toora-Khem,52.47,96.11,51,RU,1570421287,77,45.25,2.8
241,Dali,34.79,109.94,100,CN,1570421287,68,60.26,3.53
242,Baykit,61.68,96.39,100,RU,1570421288,99,38.7,5.19
243,La Union,14.97,-89.29,100,GT,1570421289,1,73.99,1.5
244,Bosaso,11.28,49.18,0,SO,1570421289,76,84.92,8.03
245,Baruun-Urt,46.68,113.28,59,MN,1570421289,41,38.25,15.79
246,Kaitangata,-46.28,169.85,98,NZ,1570421052,71,55.0,4.0
247,Ugoofaaru,5.67,73.0,96,MV,1570421291,75,81.28,9.46
248,Gazojak,41.19,61.4,0,TM,1570421291,24,61.61,8.97
249,Salihorsk,52.79,27.54,60,BY,1570421292,89,29.25,5.12
250,Sehithwa,-20.47,22.7,6,BW,1570421292,15,68.77,14.14
251,Kastamonu,41.38,33.78,6,TR,1570421293,96,38.55,1.48
252,Menongue,-14.66,17.68,100,AO,1570421293,63,62.38,4.03
253,Waingapu,-9.65,120.26,2,ID,1570421294,41,87.73,14.81
254,Spearfish,44.49,-103.86,1,US,1570421294,60,46.99,7.14
255,Axim,4.87,-2.24,47,GH,1570421295,87,76.8,8.95
256,Upernavik,72.79,-56.15,0,GL,1570421179,76,28.42,4.52
257,Znamenskoye,57.13,73.82,9,RU,1570421296,79,46.27,3.11
258,Bathsheba,13.22,-59.52,75,BB,1570421057,78,82.4,23.04
259,Kavieng,-2.57,150.8,1,PG,1570421070,75,83.59,14.09
260,Orbetello,42.44,11.21,20,IT,1570421297,93,60.01,3.36
261,Dhenkanal,20.65,85.6,17,IN,1570421298,74,82.4,2.24
262,Villa Carlos Paz,-31.42,-64.5,0,AR,1570421063,45,61.0,1.99
